session_id,date,prompt_count,total_word_count,median_word_count,category_distribution,total_tokens_in,total_tokens_out,total_cache_read,total_cache_create,total_cost_usd,total_tool_calls,total_agents_spawned,agent_types_used,model,platform
25785c20d7af,2025-12-17,4,69,12,"{""other"":3,""debugging"":1}",0,0,0,0,0.0,0,0,,,windows
06fb15285641,2025-12-19,3,63,18,"{""artwork"":3}",0,0,0,0,0.0,0,0,,,windows
5fd548221766,2025-12-21,4,101,18,"{""tooling"":2,""rendering"":2}",0,0,0,0,0.0,0,0,,,windows
f7450b843d42,2025-12-21,1,31,31,"{""rendering"":1}",0,0,0,0,0.0,0,0,,,windows
df9293817e83,2025-12-23,7,161,17,"{""networking"":5,""rendering"":1,""tooling"":1}",0,0,0,0,0.0,0,0,,,windows
97d22d395957,2025-12-23,1,35,35,"{""debugging"":1}",0,0,0,0,0.0,0,0,,,windows
372c7fd28399,2025-12-23,1,28,28,"{""networking"":1}",0,0,0,0,0.0,0,0,,,windows
b217e8b9e02d,2025-12-25,4,73,18,"{""tooling"":1,""rendering"":1,""dungeon"":1,""save"":1}",0,0,0,0,0.0,0,0,,,windows
e831c281e737,2025-12-25,1,23,23,"{""rendering"":1}",0,0,0,0,0.0,0,0,,,windows
a1018b0d09bd,2025-12-27,2,19,9,"{""build"":2}",6,374,39450,14119,0.07,0,0,,claude-sonnet-4-5-20250929,mac
4fcb834b5f2e,2025-12-27,13,766,14,"{""build"":7,""rendering"":4,""system"":1,""content"":1}",13,319,346699,66584,0.36,1,0,,claude-sonnet-4-5-20250929,mac
e5324e8be09b,2025-12-27,6,215,34,"{""ai"":2,""gamestate"":1,""system"":1,""ecs"":1,""content"":1}",10,6,98648,170536,0.67,0,0,,claude-sonnet-4-5-20250929,mac
2d31b2c4f462,2025-12-28,6,189,13,"{""physics"":2,""system"":2,""rendering"":1,""tooling"":1}",9,7,135352,111271,0.76,0,0,,claude-opus-4-5-20251101,mac
aea1981481aa,2025-12-28,1,50,50,"{""rendering"":1}",3,1,12832,14991,0.1,0,0,,claude-opus-4-5-20251101,mac
c87a8b64e67a,2025-12-28,6,87,4,"{""system"":2,""other"":2,""physics"":1,""ai"":1}",9,3,145938,159269,1.07,0,0,,claude-opus-4-5-20251101,mac
0df1831b3773,2025-12-28,15,1577,19,"{""rendering"":4,""networking"":4,""dungeon"":2,""artwork"":2,""system"":2,""ai"":1}",18,8,185537,363471,2.36,0,0,,claude-opus-4-5-20251101,mac
16d30b6837dc,2025-12-28,7,1393,41,"{""artwork"":2,""rendering"":2,""physics"":1,""other"":1,""spawning"":1}",15,6,302839,135358,1.0,0,0,,claude-opus-4-5-20251101,mac
